,Item,Year,Emission Intensity
0,Cereals Exc Rice,1961-12-31,5171.320544435256
1,Cereals Exc Rice,1962-12-31,5876.892264264177
2,Cereals Exc Rice,1963-12-31,5699.62915447689
3,Cereals Exc Rice,1964-12-31,5628.146713418911
4,Cereals Exc Rice,1965-12-31,5571.215786131404
5,Cereals Exc Rice,1966-12-31,5949.602313909387
6,Cereals Exc Rice,1967-12-31,6640.88729573494
7,Cereals Exc Rice,1968-12-31,7690.846203357627
8,Cereals Exc Rice,1969-12-31,8078.574412066071
9,Cereals Exc Rice,1970-12-31,8287.122949155273
10,Cereals Exc Rice,1971-12-31,9430.283437255017
11,Cereals Exc Rice,1972-12-31,9226.457878337013
12,Cereals Exc Rice,1973-12-31,9609.602125938847
13,Cereals Exc Rice,1974-12-31,8734.562674479399
14,Cereals Exc Rice,1975-12-31,10373.914774669618
15,Cereals Exc Rice,1976-12-31,10716.345331299812
16,Cereals Exc Rice,1977-12-31,11715.592901971162
17,Cereals Exc Rice,1978-12-31,12790.670336568888
18,Cereals Exc Rice,1979-12-31,12838.722553884272
19,Cereals Exc Rice,1980-12-31,13357.30336188497
20,Cereals Exc Rice,1981-12-31,13831.592103352705
21,Cereals Exc Rice,1982-12-31,14305.398298111104
22,Cereals Exc Rice,1983-12-31,15509.806237927252
23,Cereals Exc Rice,1984-12-31,16221.396320103056
24,Cereals Exc Rice,1985-12-31,17687.272608603944
25,Cereals Exc Rice,1986-12-31,18272.059434186616
26,Cereals Exc Rice,1987-12-31,17502.385318529938
27,Cereals Exc Rice,1988-12-31,19777.604504831186
28,Cereals Exc Rice,1989-12-31,20400.490279822072
29,Cereals Exc Rice,1990-12-31,20823.86872865219
30,Cereals Exc Rice,1991-12-31,21724.049272829277
31,Cereals Exc Rice,1992-12-31,21519.328634856545
32,Cereals Exc Rice,1993-12-31,23387.37960077351
33,Cereals Exc Rice,1994-12-31,24145.821004714606
34,Cereals Exc Rice,1995-12-31,25780.249245274685
35,Cereals Exc Rice,1996-12-31,26674.29060392552
36,Cereals Exc Rice,1997-12-31,26412.205046053554
37,Cereals Exc Rice,1998-12-31,28324.65321110713
38,Cereals Exc Rice,1999-12-31,28188.726819205673
39,Cereals Exc Rice,2000-12-31,28196.054832929825
40,Cereals Exc Rice,2001-12-31,27466.094431119847
41,Cereals Exc Rice,2002-12-31,26105.58957511271
42,Cereals Exc Rice,2003-12-31,26945.114942918226
43,Cereals Exc Rice,2004-12-31,29321.818617913348
44,Cereals Exc Rice,2005-12-31,30754.33415888509
45,Cereals Exc Rice,2006-12-31,31939.10227274855
46,Cereals Exc Rice,2007-12-31,34310.551443144184
47,Cereals Exc Rice,2008-12-31,34922.94548351432
48,Cereals Exc Rice,2009-12-31,36436.23821624737
49,Cereals Exc Rice,2010-12-31,38521.28621173538
50,Cereals Exc Rice,2011-12-31,39669.5143377944
51,Cereals Exc Rice,2012-12-31,38672.67918450275
52,Cereals Exc Rice,2013-12-31,39252.45298381823
53,Cereals Exc Rice,2014-12-31,39119.23947693844
54,Cereals Exc Rice,2015-12-31,39472.372997821025
55,Cereals Exc Rice,2016-12-31,39354.70619620134
56,Cereals Exc Rice,2017-12-31,39579.64702082145
57,Cereals Exc Rice,2018-12-31,40131.119021661296
58,Cereals Exc Rice,2019-12-31,40584.89834465483
59,Cereals Exc Rice,2020-12-31,41097.68406960705
