,Item,ds,yhat1
0,Cereals Exc Rice,1961-01-01,4556.9912109375
1,Cereals Exc Rice,1962-01-01,4986.369140625
2,Cereals Exc Rice,1963-01-01,5425.7109375
3,Cereals Exc Rice,1964-01-01,5875.0634765625
4,Cereals Exc Rice,1965-01-01,6220.58837890625
5,Cereals Exc Rice,1966-01-01,6629.0380859375
6,Cereals Exc Rice,1967-01-01,7018.2880859375
7,Cereals Exc Rice,1968-01-01,7417.546875
8,Cereals Exc Rice,1969-01-01,7712.84375
9,Cereals Exc Rice,1970-01-01,8092.126953125
10,Cereals Exc Rice,1971-01-01,8409.162109375
11,Cereals Exc Rice,1972-01-01,8721.9990234375
12,Cereals Exc Rice,1973-01-01,8930.6337890625
13,Cereals Exc Rice,1974-01-01,9223.494140625
14,Cereals Exc Rice,1975-01-01,9631.087890625
15,Cereals Exc Rice,1976-01-01,10357.44921875
16,Cereals Exc Rice,1977-01-01,10980.7431640625
17,Cereals Exc Rice,1978-01-01,11687.130859375
18,Cereals Exc Rice,1979-01-01,12403.4814453125
19,Cereals Exc Rice,1980-01-01,13057.544921875
20,Cereals Exc Rice,1981-01-01,13572.8193359375
21,Cereals Exc Rice,1982-01-01,14171.4794921875
22,Cereals Exc Rice,1983-01-01,14780.1044921875
23,Cereals Exc Rice,1984-01-01,15413.2431640625
24,Cereals Exc Rice,1985-01-01,16092.0673828125
25,Cereals Exc Rice,1986-01-01,16853.830078125
26,Cereals Exc Rice,1987-01-01,17625.55859375
27,Cereals Exc Rice,1988-01-01,18407.296875
28,Cereals Exc Rice,1989-01-01,19210.626953125
29,Cereals Exc Rice,1990-01-01,20216.791015625
30,Cereals Exc Rice,1991-01-01,21232.91796875
31,Cereals Exc Rice,1992-01-01,22259.05859375
32,Cereals Exc Rice,1993-01-01,23182.951171875
33,Cereals Exc Rice,1994-01-01,24008.29296875
34,Cereals Exc Rice,1995-01-01,24829.41015625
35,Cereals Exc Rice,1996-01-01,25660.53515625
36,Cereals Exc Rice,1997-01-01,26388.87890625
37,Cereals Exc Rice,1998-01-01,27018.826171875
38,Cereals Exc Rice,1999-01-01,27314.724609375
39,Cereals Exc Rice,2000-01-01,27620.6328125
40,Cereals Exc Rice,2001-01-01,27822.3203125
41,Cereals Exc Rice,2002-01-01,28108.25390625
42,Cereals Exc Rice,2003-01-01,28930.70703125
43,Cereals Exc Rice,2004-01-01,29926.9140625
44,Cereals Exc Rice,2005-01-01,30820.79296875
45,Cereals Exc Rice,2006-01-01,31797.025390625
46,Cereals Exc Rice,2007-01-01,32759.646484375
47,Cereals Exc Rice,2008-01-01,33625.296875
48,Cereals Exc Rice,2009-01-01,34388.2578125
49,Cereals Exc Rice,2010-01-01,35233.93359375
50,Cereals Exc Rice,2011-01-01,36089.57421875
51,Cereals Exc Rice,2012-01-01,36955.22265625
52,Cereals Exc Rice,2013-01-01,37718.1875
53,Cereals Exc Rice,2014-01-01,38563.86328125
54,Cereals Exc Rice,2015-01-01,39419.5
55,Cereals Exc Rice,2016-01-01,40285.15234375
56,Cereals Exc Rice,2017-01-01,41048.11328125
57,Cereals Exc Rice,2018-01-01,41893.796875
58,Cereals Exc Rice,2019-01-01,42749.42578125
59,Cereals Exc Rice,2020-01-01,43615.08203125
60,Cereals Exc Rice,2021-01-01,44378.0390625
61,Cereals Exc Rice,2022-01-01,45223.71484375
62,Cereals Exc Rice,2023-01-01,46079.35546875
63,Cereals Exc Rice,2024-01-01,46945.0
64,Cereals Exc Rice,2025-01-01,47707.96875
65,Cereals Exc Rice,2026-01-01,48553.65234375
66,Cereals Exc Rice,2027-01-01,49409.28125
67,Cereals Exc Rice,2028-01-01,50274.9375
68,Cereals Exc Rice,2029-01-01,51037.89453125
69,Cereals Exc Rice,2030-01-01,51883.578125
70,Cereals Exc Rice,2031-01-01,52739.2109375
71,Cereals Exc Rice,2032-01-01,53604.86328125
72,Cereals Exc Rice,2033-01-01,54367.82421875
73,Cereals Exc Rice,2034-01-01,55213.5
74,Cereals Exc Rice,2035-01-01,56069.13671875
75,Cereals Exc Rice,2036-01-01,56934.78515625
76,Cereals Exc Rice,2037-01-01,57697.75
77,Cereals Exc Rice,2038-01-01,58543.41796875
78,Cereals Exc Rice,2039-01-01,59399.06640625
79,Cereals Exc Rice,2040-01-01,60264.71875
80,Cereals Exc Rice,2041-01-01,61027.6796875
81,Cereals Exc Rice,2042-01-01,61873.34765625
82,Cereals Exc Rice,2043-01-01,62728.99609375
83,Cereals Exc Rice,2044-01-01,63594.640625
84,Cereals Exc Rice,2045-01-01,64357.59765625
85,Cereals Exc Rice,2046-01-01,65203.2734375
86,Cereals Exc Rice,2047-01-01,66058.9140625
87,Cereals Exc Rice,2048-01-01,66924.5625
88,Cereals Exc Rice,2049-01-01,67687.53125
89,Cereals Exc Rice,2050-01-01,68533.203125
90,Cereals Exc Rice,2051-01-01,69388.84375
91,Cereals Exc Rice,2052-01-01,70254.5
92,Cereals Exc Rice,2053-01-01,71017.46875
93,Cereals Exc Rice,2054-01-01,71863.125
94,Cereals Exc Rice,2055-01-01,72718.78125
95,Cereals Exc Rice,2056-01-01,73584.421875
96,Cereals Exc Rice,2057-01-01,74347.375
97,Cereals Exc Rice,2058-01-01,75193.0625
98,Cereals Exc Rice,2059-01-01,76048.703125
99,Cereals Exc Rice,2060-01-01,76914.34375
100,Cereals Exc Rice,2061-01-01,77677.3125
101,Cereals Exc Rice,2062-01-01,78522.984375
102,Cereals Exc Rice,2063-01-01,79378.625
103,Cereals Exc Rice,2064-01-01,80244.28125
104,Cereals Exc Rice,2065-01-01,81007.234375
105,Cereals Exc Rice,2066-01-01,81852.90625
106,Cereals Exc Rice,2067-01-01,82708.546875
0,Egg Hen in Shell,1961-01-01,198.44192504882812
1,Egg Hen in Shell,1962-01-01,210.63995361328125
2,Egg Hen in Shell,1963-01-01,222.3419189453125
3,Egg Hen in Shell,1964-01-01,233.54830932617188
4,Egg Hen in Shell,1965-01-01,228.91650390625
5,Egg Hen in Shell,1966-01-01,245.13912963867188
6,Egg Hen in Shell,1967-01-01,266.4743957519531
7,Egg Hen in Shell,1968-01-01,287.3140869140625
8,Egg Hen in Shell,1969-01-01,292.34197998046875
9,Egg Hen in Shell,1970-01-01,314.17315673828125
10,Egg Hen in Shell,1971-01-01,346.4616394042969
