Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1961","4885.8162"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1962","5269.0193"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1963","5163.9084"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1964","5399.4628"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1965","5416.4571"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1966","5675.7435"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1967","6505.7218"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1968","7231.317"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1969","7713.0904"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1970","8198.8371"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1971","8674.497"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1972","8800.4323"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1973","9114.3838"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1974","8448.1748"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1975","10484.5464"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1976","10405.7712"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1977","11151.3229"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1978","12219.486"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1979","12490.8319"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1980","12534.1072"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1981","13681.0122"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1982","13474.1621"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1983","15233.7601"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1984","16382.0803"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1985","16591.2363"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1986","18114.302"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1987","16479.4828"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1988","19211.7768"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1989","19967.2353"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1990","20143.841"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1991","20854.5286"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1992","22065.7078"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1993","22446.1861"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1994","23736.3707"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1995","24590.2827"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1996","25409.7918"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1997","26685.4476"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1998","27221.6541"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","1999","27946.3332"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2000","27295.0501"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2001","27471.9237"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2002","25914.761"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2003","27128.5934"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2004","28361.6904"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2005","29743.3588"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2006","31484.3909"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2007","33389.8183"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2008","34230.3549"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2009","35169.9188"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2010","37165.0235"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2011","39076.1827"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2012","38579.5247"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2013","38500.8478"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2014","39032.7974"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2015","38996.8584"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2016","38411.9764"
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2017","39402.8922"
