Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1961","209.9751"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1962","224.9734"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1963","227.973"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1964","221.9737"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1965","224.9734"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1966","233.9723"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1967","263.9687"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1968","278.967"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1969","287.9659"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1970","302.9641"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1971","317.9623"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1972","362.957"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1973","419.9503"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1974","425.9496"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1975","479.9432"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1976","515.9389"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1977","479.9432"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1978","455.946"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1979","431.9489"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1980","449.9467"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1981","431.9489"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1982","431.9489"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1983","467.9446"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1984","509.9396"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1985","497.941"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1986","521.9382"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1987","551.9346"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1988","575.9318"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1989","611.9275"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1990","689.9183"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1991","701.9169"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1992","659.9219"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1993","689.9183"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1994","751.519"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1995","766.9252"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1996","782.6493"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1997","798.6914"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1998","833.9013"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","1999","875.8963"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2000","1043.8764"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2001","1109.8686"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2002","1145.8643"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2003","1199.8579"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2004","1271.8494"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2005","1289.8473"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2006","1379.8366"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2007","1487.8238"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2008","1548.4406"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2009","1667.6165"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2010","1821.7323"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2011","1846.1254"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2012","1931.8762"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2013","1948.3632"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2014","1947.4354"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2015","2267.9894"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2016","2295.7901"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2017","2417.5697"
