Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1961","59011.435"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1962","59310.0918"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1963","58874.4922"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1964","60085.325"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1965","60450.8631"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1966","60970.244"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1967","63070.5528"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1968","63373.657"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1969","64218.9517"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1970","64910.4279"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1971","63932.6135"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1972","64511.3821"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1973","66328.4233"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1974","67563.6253"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1975","67959.6249"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1976","68127.1632"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1977","68645.0088"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1978","72087.1592"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1979","72620.2356"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1980","73214.235"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1981","74021.465"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1982","76951.8621"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1983","78930.3492"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1984","79041.5216"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1985","80342.228"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1986","82482.1611"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1987","80444.274"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1988","81438.8423"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1989","81027.6119"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1990","83266.5328"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1991","83314.994"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1992","88816.6196"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1993","90193.4797"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1994","90462.5493"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1995","91273.4194"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1996","92086.2787"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1997","93681.3224"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1998","93827.5377"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","1999","96485.3043"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2000","98177.441"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2001","98675.4867"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2002","99986.8546"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2003","101930.2989"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2004","102876.1287"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2005","104157.0351"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2006","105884.2026"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2007","106968.6323"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2008","107580.9086"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2009","107417.9396"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2010","106986.9092"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2011","106417.279"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2012","106711.5098"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2013","106788.6033"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2014","107033.7742"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2015","105756.1348"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2016","106614.2446"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2017","106831.6637"
