Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1961","111053.5911"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1962","111603.3706"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1963","112263.535"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1964","114398.8308"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1965","115115.6154"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1966","111272.2161"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1967","113208.9683"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1968","112495.0508"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1969","112489.3165"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1970","113873.4219"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1971","113042.6742"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1972","112069.2807"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1973","113854.797"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1974","113237.6397"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1975","113507.8732"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1976","113287.8146"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1977","112605.4356"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1978","113604.6334"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1979","114040.4385"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1980","115545.6862"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1981","116979.2556"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1982","119597.6756"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1983","119700.8926"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1984","119956.779"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1985","121007.5853"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1986","121491.4207"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1987","121765.2324"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1988","122319.3012"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1989","122856.8897"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1990","123358.639"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1991","123860.3882"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1992","124019.5144"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1993","123239.6527"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1994","122090.1022"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1995","121097.2909"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1996","120088.7606"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1997","118693.0877"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1998","116925.5024"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","1999","115253.2381"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2000","113998.1482"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2001","111497.2865"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2002","109511.793"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2003","107071.8523"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2004","109340.4815"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2005","111413.417"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2006","114009.6225"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2007","114216.7732"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2008","112479.9925"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2009","110638.5842"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2010","108542.6944"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2011","106684.8001"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2012","104930.661"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2013","103366.6147"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2014","101103.0776"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2015","98808.27"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2016","98137.7165"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2017","96191.3122"
