Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1961","302.1762"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1962","290.1058"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1963","286.3598"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1964","289.2733"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1965","285.5274"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1966","277.6192"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1967","303.8411"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1968","305.9222"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1969","312.1655"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1970","318.4088"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1971","328.8143"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1972","287.1922"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1973","287.1922"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1974","287.1922"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1975","253.8946"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1976","233.0836"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1977","288.4409"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1978","382.5068"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1979","437.4479"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1980","465.3347"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1981","520.2758"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1982","451.5994"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1983","590.2009"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1984","613.9254"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1985","678.4396"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1986","720.8942"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1987","661.7908"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1988","668.0341"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1989","665.953"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1990","636.8176"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1991","653.4664"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1992","724.328"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1993","732.5483"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1994","718.9462"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1995","741.5553"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1996","763.9439"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1997","758.7577"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1998","811.6303"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","1999","861.5767"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2000","832.4413"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2001","878.2256"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2002","948.9831"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2003","1071.3478"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2004","1169.8963"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2005","1317.4882"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2006","1427.6202"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2007","1538.9092"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2008","1558.5632"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2009","1539.0632"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2010","1496.9042"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2011","1545.3274"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2012","1542.6323"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2013","1599.2627"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2014","1666.5017"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2015","1508.0739"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2016","1634.1189"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2017","1582.8579"
