Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1961","11919.3536"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1962","12066.644"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1963","12224.2404"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1964","12382.2662"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1965","12517.5328"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1966","12643.9981"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1967","12681.9999"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1968","12678.3498"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1969","12782.9131"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1970","12888.1205"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1971","12888.1205"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1972","12993.7573"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1973","13311.956"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1974","13634.0194"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1975","13848.7284"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1976","14170.7919"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1977","14411.2659"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1978","15136.9822"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1979","15888.4636"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1980","16618.4741"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1981","17284.0719"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1982","18132.8181"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1983","18529.3839"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1984","18664.6505"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1985","18527.2368"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1986","19081.1859"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1987","20656.5056"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1988","20655.0027"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1989","20869.7116"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1990","19194.9817"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1991","19495.5742"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1992","20007.011"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1993","19860.5795"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1994","19952.4964"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1995","20497.0198"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1996","21032.4396"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1997","21563.6081"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1998","21576.3189"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","1999","20106.8507"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2000","20782.9692"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2001","20369.8692"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2002","19823.0054"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2003","19949.2543"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2004","21473.2585"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2005","22005.0927"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2006","23016.5866"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2007","23464.0401"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2008","23426.6825"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2009","22946.3768"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2010","22935.4249"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2011","22621.5221"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2012","22182.2089"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2013","22133.9363"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2014","21915.6041"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2015","21378.109"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2016","21388.0661"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2017","20872.3538"
