Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1961","893.2411"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1962","886.1656"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1963","878.3997"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1964","871.4968"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1965","864.5939"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1966","858.5538"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1967","915.3305"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1968","964.3414"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1969","983.6697"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1970","1035.4417"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1971","1127.4235"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1972","1190.0677"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1973","1190.758"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1974","1225.2727"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1975","1259.7874"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1976","1277.0448"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1977","1319.6705"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1978","1397.8463"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1979","1484.1332"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1980","1553.1626"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1981","1656.7068"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1982","1738.1615"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1983","1760.251"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1984","1777.5083"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1985","1794.7657"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1986","1812.023"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1987","1830.3158"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1988","1898.3099"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1989","1967.3393"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1990","2053.6261"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1991","2122.6556"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1992","2206.8715"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1993","2226.1997"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1994","2243.4571"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1995","2260.7145"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1996","2277.9718"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1997","2293.676"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1998","2300.0612"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","1999","2306.619"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2000","2313.0043"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2001","2319.3895"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2002","2325.9473"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2003","2333.0228"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2004","2222.4031"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2005","2117.1332"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2006","2016.6954"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2007","1921.4347"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2008","1892.6149"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2009","1864.1403"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2010","1836.1834"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2011","1808.7441"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2012","1776.4204"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2013","1748.1708"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2014","1725.7362"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2015","1703.0152"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2016","1570.5815"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2017","1518.7083"
