Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1961","7895.0415"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1962","7965.1125"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1963","8035.1851"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1964","8104.4725"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1965","8175.1339"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1966","8246.7783"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1967","8179.2558"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1968","8112.3238"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1969","8045.7843"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1970","7980.0299"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1971","7870.8972"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1972","7849.8967"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1973","7890.5254"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1974","7929.7818"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1975","7957.2612"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1976","7992.5919"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1977","8029.2982"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1978","8285.0517"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1979","8551.9948"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1980","8826.7893"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1981","9111.3978"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1982","9571.4821"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1983","9460.7792"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1984","9323.382"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1985","9211.5014"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1986","9093.7324"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1987","8970.86"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1988","9162.6273"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1989","9358.7127"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1990","9558.9201"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1991","8454.0917"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1992","8634.39"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1993","8862.8753"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1994","9088.4962"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1995","9314.2023"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1996","9557.3893"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1997","9799.6261"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1998","9911.2028"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","1999","10024.3618"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2000","10138.5811"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2001","10254.2095"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2002","10371.2471"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2003","10489.6947"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2004","10903.943"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2005","11334.4877"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2006","11781.8709"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2007","12248.2074"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2008","12021.98"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2009","11799.5033"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2010","11581.1238"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2011","11366.8387"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2012","11113.7852"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2013","10892.151"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2014","10752.3568"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2015","10615.6469"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2016","10978.777"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2017","10763.1841"
