Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1961","34606.5428"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1962","30475.5811"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1963","29052.271"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1964","27126.6162"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1965","25619.5819"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1966","35120.5955"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1967","30884.1548"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1968","33132.9982"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1969","33740.8219"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1970","31103.5254"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1971","33667.1447"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1972","36895.5469"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1973","32635.6635"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1974","34494.3391"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1975","35331.5803"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1976","37340.9593"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1977","38827.8997"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1978","39350.3383"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1979","42196.9585"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1980","42364.4067"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1981","42699.3032"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1982","42866.7515"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1983","44876.1304"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1984","46550.6129"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1985","46383.1647"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1986","47555.3024"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1987","49929.7186"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1988","50234.4744"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1989","50569.3709"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1990","50904.2674"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1991","51406.6121"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1992","52850.016"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1993","53081.0946"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1994","54175.8042"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1995","54904.3548"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1996","55669.6268"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1997","55745.1962"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1998","55944.4596"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","1999","55967.9024"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2000","55062.0074"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2001","57113.2484"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2002","58004.0731"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2003","59951.4962"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2004","60326.5803"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2005","61262.616"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2006","61081.7719"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2007","66525.5144"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2008","67853.379"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2009","69425.7181"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2010","71592.4984"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2011","73203.3505"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2012","74536.7912"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2013","75002.1734"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2014","76941.0633"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2015","78982.5087"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2016","82264.4273"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2017","85239.8487"
