Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1961","18982.0889"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1962","19190.7502"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1963","19343.0577"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1964","19419.2115"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1965","19571.519"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1966","19684.2266"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1967","18956.1966"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1968","19799.9804"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1969","20104.5954"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1970","20561.5181"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1971","22693.8236"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1972","22952.7465"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1973","22998.4387"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1974","23150.7463"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1975","23303.0538"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1976","24673.8217"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1977","25829.8481"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1978","24369.2066"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1979","25892.282"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1980","27415.3574"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1981","28786.1253"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1982","29334.4324"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1983","30080.7394"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1984","32746.1214"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1985","34269.1968"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1986","35030.7345"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1987","35259.1958"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1988","36553.8099"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1989","39295.3456"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1990","39447.6532"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1991","41820.8819"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1992","39435.4686"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1993","39752.2682"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1994","41198.1816"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1995","42125.1405"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1996","43072.9565"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1997","43270.5724"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1998","45083.0322"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","1999","44411.3559"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2000","44734.2479"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2001","46280.1695"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2002","47041.7072"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2003","47212.2916"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2004","49011.0437"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2005","50524.9806"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2006","51642.918"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2007","53472.1316"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2008","53886.4081"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2009","55083.5453"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2010","56553.3131"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2011","58170.8192"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2012","58850.0194"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2013","59835.8468"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2014","60504.521"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2015","62735.5981"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2016","64836.4978"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2017","65777.9716"
