Domain,Area,Element,Item,Year,Value
"Emissions intensities","Afghanistan","Emissions (CO2eq)","Meat, cattle","2017","1122.1773"
"Emissions intensities","Albania","Emissions (CO2eq)","Meat, cattle","2017","232.0073"
"Emissions intensities","Algeria","Emissions (CO2eq)","Meat, cattle","2017","931.7934"
"Emissions intensities","American Samoa","Emissions (CO2eq)","Meat, cattle","2017","0.1768"
"Emissions intensities","Angola","Emissions (CO2eq)","Meat, cattle","2017","5166.3496"
"Emissions intensities","Antigua and Barbuda","Emissions (CO2eq)","Meat, cattle","2017","2.5042"
"Emissions intensities","Argentina","Emissions (CO2eq)","Meat, cattle","2017","83454.8408"
"Emissions intensities","Armenia","Emissions (CO2eq)","Meat, cattle","2017","435.924"
"Emissions intensities","Australia","Emissions (CO2eq)","Meat, cattle","2017","50117.1546"
"Emissions intensities","Austria","Emissions (CO2eq)","Meat, cattle","2017","2572.9971"
"Emissions intensities","Azerbaijan","Emissions (CO2eq)","Meat, cattle","2017","1426.4043"
"Emissions intensities","Bahamas","Emissions (CO2eq)","Meat, cattle","2017","0.1202"
"Emissions intensities","Bahrain","Emissions (CO2eq)","Meat, cattle","2017","4.558"
"Emissions intensities","Bangladesh","Emissions (CO2eq)","Meat, cattle","2017","14270.956"
"Emissions intensities","Barbados","Emissions (CO2eq)","Meat, cattle","2017","13.2906"
"Emissions intensities","Belarus","Emissions (CO2eq)","Meat, cattle","2017","5211.8316"
"Emissions intensities","Belgium","Emissions (CO2eq)","Meat, cattle","2017","3398.0221"
"Emissions intensities","Belize","Emissions (CO2eq)","Meat, cattle","2017","178.0014"
"Emissions intensities","Benin","Emissions (CO2eq)","Meat, cattle","2017","2068.1688"
"Emissions intensities","Bermuda","Emissions (CO2eq)","Meat, cattle","2017","0.3902"
"Emissions intensities","Bhutan","Emissions (CO2eq)","Meat, cattle","2017","119.5518"
"Emissions intensities","Bolivia (Plurinational State of)","Emissions (CO2eq)","Meat, cattle","2017","15198.7823"
